-50,233
-49,209
-48,211
-47,215
-46,202
-45,203
-44,188
-43,178
-42,167
-41,165
-40,166
-39,170
-38,155
-37,159
-36,156
-35,161
-34,155
-33,137
-32,133
-31,132
-30,124
-29,129
-28,117
-27,121
-26,131
-25,128
-24,122
-23,128
-22,130
-21,130
-20,114
-19,108
-18,109
-17,122
-16,117
-15,104
-14,108
-13,120
-12,121
-11,103
-10,91
-9,83
-8,72
-7,62
-6,40
-5,27
-4,20
-3,30
-2,27
-1,30
0,27
1,42
2,56
3,65
4,49
5,54
6,52
7,59
8,60
9,46
10,56
11,58
12,53
13,55
14,56
15,65
16,86
17,72
18,77
19,70
20,74
21,76
22,65
23,64
24,73
25,89
26,113
27,128
28,154
29,161
30,149
31,162
32,172
33,175
34,171
35,174
36,188
37,198
38,193
39,179
40,178
41,176
42,163
43,163
44,172
45,176
46,183
47,180
48,192
49,202
50,192
