-50,150
-49,147
-48,144
-47,141
-46,138
-45,135
-44,132
-43,129
-42,126
-41,123
-40,120
-39,117
-38,114
-37,111
-36,108
-35,105
-34,102
-33,99
-32,96
-31,93
-30,90
-29,87
-28,84
-27,81
-26,78
-25,75
-24,72
-23,69
-22,66
-21,63
-20,60
-19,57
-18,54
-17,51
-16,48
-15,45
-14,42
-13,39
-12,36
-11,33
-10,30
-9,27
-8,24
-7,21
-6,18
-5,15
-4,12
-3,9
-2,6
-1,3
0,0
1,3
2,6
3,9
4,12
5,15
6,18
7,21
8,24
9,27
10,30
11,33
12,36
13,39
14,42
15,45
16,48
17,51
18,54
19,57
20,60
21,63
22,66
23,69
24,72
25,75
26,78
27,81
28,84
29,87
30,90
31,93
32,96
33,99
34,102
35,105
36,108
37,111
38,114
39,117
40,120
41,123
42,126
43,129
44,132
45,135
46,138
47,141
48,144
49,147
50,150
