-50,150
-49,88
-48,63
-47,65
-46,40
-45,49
-44,65
-43,92
-42,124
-41,115
-40,116
-39,147
-38,128
-37,127
-36,127
-35,129
-34,159
-33,172
-32,171
-31,179
-30,164
-29,157
-28,140
-27,123
-26,118
-25,115
-24,116
-23,141
-22,158
-21,171
-20,193
-19,201
-18,180
-17,203
-16,189
-15,174
-14,179
-13,149
-12,163
-11,194
-10,167
-9,178
-8,163
-7,149
-6,156
-5,148
-4,112
-3,144
-2,130
-1,134
0,147
1,139
2,142
3,181
4,167
5,166
6,181
7,165
8,167
9,166
10,163
11,165
12,174
13,191
14,185
15,191
16,171
17,180
18,164
19,176
20,146
21,181
22,187
23,212
24,200
25,210
26,221
27,238
28,229
29,222
30,237
31,249
32,276
33,260
34,246
35,258
36,262
37,259
38,248
39,248
40,247
41,244
42,236
43,266
44,253
45,255
46,238
47,246
48,278
49,276
50,254
